날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
1999-01-04,843.6,843.6,843.6,843.6,20,440000,23591308000
1999-01-05,826.7,826.7,826.7,826.7,3,18720,22533191000
1999-01-06,832.5,832.5,832.5,832.5,236,1248000,22917071000
1999-01-07,840.7,840.7,840.7,840.7,215,4436750,23438068000
1999-01-08,838.4,838.4,838.4,838.4,338,2763100,23289669200
1999-01-11,837.4,837.4,837.4,837.4,684,5166600,23229669200
1999-01-12,827.0,827.0,827.0,827.0,51,1052250,22576074000
1999-01-13,840.7,840.7,840.7,840.7,850,4037500,23438068000
1999-01-14,817.2,817.2,817.2,817.2,0,0,21954080000
1999-01-15,817.2,817.2,817.2,817.2,150,3000000,21954080000
1999-01-18,845.5,845.5,845.5,845.5,1050,22688000,23734865600
1999-01-19,814.2,814.2,814.2,814.2,310,6122500,21768581500
1999-01-20,840.7,840.7,840.7,840.7,10,220000,23438068000
1999-01-21,818.3,818.3,818.3,818.3,60,365800,22025314000
1999-01-22,859.9,859.9,859.9,859.9,60,1246000,22025314000
1999-01-25,921.1,921.1,921.1,921.1,10,219500,22025314000
1999-01-26,950.5,950.5,950.5,950.5,50,1175000,23880299000
1999-01-27,968.2,968.2,968.2,968.2,790,18715000,24993290000
1999-01-28,950.5,950.5,950.5,950.5,0,0,23880299000
1999-01-29,954.0,954.0,954.0,954.0,100,680000,24098262000
1999-02-01,948.1,948.1,948.1,948.1,0,0,23727265000
1999-02-02,983.9,983.9,983.9,983.9,773,15352900,21723881200
1999-02-03,1020.0,1020.0,1020.0,1020.0,1922,34324000,19980195300
1999-02-04,1010.1,1010.1,1010.1,1010.1,185,2259150,19354715000
1999-02-05,1018.1,1018.1,1018.1,1018.1,1280,10088700,19861295600
1999-02-08,1026.1,1026.1,1026.1,1026.1,1592,11940000,20367296800
1999-02-09,1035.6,1035.6,1035.6,1035.6,1,18000,20960892000
1999-02-10,1018.5,1018.5,1018.5,1018.5,31,557100,19884097400
1999-02-11,1017.3,1017.3,1017.3,1017.3,10,170000,19809898000
1999-02-12,985.4,985.4,985.4,985.4,76000,1976000000,19438901000
1999-02-18,1007.8,1007.8,1007.8,1007.8,37345,567460200,20848689600
1999-02-19,1026.6,1026.6,1026.6,1026.6,410,8200000,22035880000
