,open,high,low,close,volume
20220825,32150,32400,32115,32400,5407046
20220824,32000,32110,31875,32025,5808668
20220823,32075,32200,31860,31895,6152631
20220822,32375,32475,32230,32300,5786119
20220819,32950,32950,32685,32725,4518760
20220818,32865,32985,32655,32915,7571930
20220817,33270,33365,33000,33040,7081131
20220816,33350,33385,33170,33210,6804788
20220812,32965,33175,32965,33125,6411616
20220811,32830,33000,32825,33000,6979981
20220810,32670,32705,32430,32460,6396791
20220809,32750,32895,32585,32845,6100712
20220808,32575,32770,32550,32740,5426099
20220805,32685,32900,32685,32800,6228446
20220804,32635,32690,32465,32585,7454291
20220803,32210,32420,32085,32420,5553911
20220802,32335,32335,32095,32195,6319529
20220801,32305,32515,32155,32370,6077218
20220729,32500,32670,32275,32385,8390909
20220728,32345,32470,32145,32245,7307853
20220727,32014,32039,31800,32034,2105353
20220726,31800,32044,31740,32024,2286531
20220725,31680,32064,31655,31910,4961057
20220722,31915,32119,31745,31785,6256855
20220721,31685,32004,31650,31984,5563122
20220720,31915,31994,31580,31640,6825264
20220719,31386,31431,31221,31406,4696254
20220718,31136,31545,31091,31511,7209394
20220715,30832,30867,30268,30827,7271040
20220714,30523,30867,30433,30642,5909628
20220713,30667,30962,30593,30752,6855600
20220712,30762,30832,30428,30593,5563878
20220711,31131,31256,30857,30887,6585048
20220708,31116,31366,31062,31062,8856337
20220707,30523,31076,30458,30892,6761412
20220706,30742,30857,30258,30283,9136637
20220705,30787,31096,30647,30987,7261119
20220704,30503,30682,30198,30503,8951930
20220701,30982,31106,30268,30493,6254748
20220630,31211,31211,30802,30807,7957918
20220629,31486,31585,31296,31326,6191148
20220628,31655,31860,31491,31860,6761378
20220627,31451,31860,31166,31615,8591616
20220624,30732,31341,30632,31216,10474998
20220623,30802,31091,30443,30573,13172277
20220622,31735,31735,30822,30822,10223304
20220621,31610,31865,30657,31620,7542920
20220620,32169,32359,31196,31441,9616425
20220617,31610,32034,31501,31955,7307734
20220616,32623,32858,32149,32194,9206695
20220615,32733,32793,32009,32214,10563690
20220614,32339,32882,32339,32798,12221841
20220613,33436,33536,32927,32927,9455246
20220610,34220,34264,33995,34135,4397718
20220609,34474,34619,34334,34489,4685474
20220608,34544,34768,34514,34594,3711361
20220607,35003,35023,34449,34519,3774963
20220603,35277,35352,35088,35172,6284134
20220602,35162,35197,34903,34978,5970869
20220531,35162,35427,34998,35362,5497559
20220530,35148,35262,34993,35222,5396258
20220527,34758,34908,34713,34768,5898612
20220526,34519,34868,34279,34404,6792018
20220525,34584,34748,34354,34519,6750396
20220524,34873,34953,34374,34374,5428583
20220523,35058,35148,34838,35023,5888981
20220520,34439,34948,34409,34908,4672269
20220519,34050,34374,33985,34294,6068269
20220518,34913,35068,34694,34793,6390497
20220517,34449,34773,34444,34728,4008276
20220516,34773,34848,34319,34394,7393051
20220513,33935,34569,33915,34529,5274160
20220512,33945,34220,33711,33731,7127048
20220511,34120,34344,34030,34294,6563550
20220510,34220,34369,33781,34299,7931940
20220509,34669,34833,34429,34479,7179996
20220506,34933,34933,34708,34808,6094336
20220504,35372,35492,35167,35297,5573201
20220503,35302,35567,35212,35212,6000980
20220502,35023,35357,35023,35297,5847443
